"","id","name"
"1","000000000000","POLSKA"
"2","010000000000","MAKROREGION POŁUDNIOWY"
"3","011200000000","MAŁOPOLSKIE"
"4","011210000000","REGION MAŁOPOLSKIE"
"5","011212000000","PODREGION KRAKOWSKI"
"6","011212001000","Powiat bocheński"
"7","011212001011","Bochnia"
"8","011212001022","Bochnia"
"9","011212001032","Drwinia"
"10","011212001042","Lipnica Murowana"
"11","011212001052","Łapanów"
"12","011212001063","Nowy Wiśnicz"
"13","011212001064","Nowy Wiśnicz - miasto"
"14","011212001065","Nowy Wiśnicz - obszar wiejski"
"15","011212001072","Rzezawa"
"16","011212001082","Trzciana"
"17","011212001092","Żegocina"
"18","011212006000","Powiat krakowski"
"19","011212006012","Czernichów"
"20","011212006022","Igołomia-Wawrzeńczyce"
"21","011212006032","Iwanowice"
"22","011212006042","Jerzmanowice-Przeginia"
"23","011212006052","Kocmyrzów-Luborzyca"
"24","011212006063","Krzeszowice"
"25","011212006064","Krzeszowice - miasto"
"26","011212006065","Krzeszowice - obszar wiejski"
"27","011212006072","Liszki"
"28","011212006082","Michałowice"
"29","011212006092","Mogilany"
"30","011212006103","Skała"
"31","011212006104","Skała - miasto"
"32","011212006105","Skała - obszar wiejski"
"33","011212006113","Skawina"
"34","011212006114","Skawina - miasto"
"35","011212006115","Skawina - obszar wiejski"
"36","011212006123","Słomniki"
"37","011212006124","Słomniki - miasto"
"38","011212006125","Słomniki - obszar wiejski"
"39","011212006132","Sułoszowa"
"40","011212006142","Świątniki Górne"
"41","011212006143","Świątniki Górne"
"42","011212006144","Świątniki Górne - miasto"
"43","011212006145","Świątniki Górne - obszar wiejski"
"44","011212006152","Wielka Wieś"
"45","011212006162","Zabierzów"
"46","011212006172","Zielonki"
"47","011212008000","Powiat miechowski"
"48","011212008012","Charsznica"
"49","011212008022","Gołcza"
"50","011212008032","Kozłów"
"51","011212008042","Książ Wielki"
"52","011212008053","Miechów"
"53","011212008054","Miechów - miasto"
"54","011212008055","Miechów - obszar wiejski"
"55","011212008062","Racławice"
"56","011212008072","Słaboszów"
"57","011212009000","Powiat myślenicki"
"58","011212009013","Dobczyce"
"59","011212009014","Dobczyce - miasto"
"60","011212009015","Dobczyce - obszar wiejski"
"61","011212009022","Lubień"
"62","011212009033","Myślenice"
"63","011212009034","Myślenice - miasto"
"64","011212009035","Myślenice - obszar wiejski"
"65","011212009042","Pcim"
"66","011212009052","Raciechowice"
"67","011212009062","Siepraw"
"68","011212009073","Sułkowice"
"69","011212009074","Sułkowice - miasto"
"70","011212009075","Sułkowice - obszar wiejski"
"71","011212009082","Tokarnia"
"72","011212009092","Wiśniowa"
"73","011212014000","Powiat proszowicki"
"74","011212014012","Koniusza"
"75","011212014022","Koszyce"
"76","011212014023","Koszyce"
"77","011212014024","Koszyce - miasto"
"78","011212014025","Koszyce - obszar wiejski"
"79","011212014032","Nowe Brzesko"
"80","011212014033","Nowe Brzesko"
"81","011212014034","Nowe Brzesko - miasto"
"82","011212014035","Nowe Brzesko - obszar wiejski"
"83","011212014042","Pałecznica"
"84","011212014053","Proszowice"
"85","011212014054","Proszowice - miasto"
"86","011212014055","Proszowice - obszar wiejski"
"87","011212014062","Radziemice"
"88","011212019000","Powiat wielicki"
"89","011212019012","Biskupice"
"90","011212019022","Gdów"
"91","011212019032","Kłaj"
"92","011212019043","Niepołomice"
"93","011212019044","Niepołomice - miasto"
"94","011212019045","Niepołomice - obszar wiejski"
"95","011212019053","Wieliczka"
"96","011212019054","Wieliczka - miasto"
"97","011212019055","Wieliczka - obszar wiejski"
"98","011212100000","PODREGION MIASTO KRAKÓW"
"99","011212161000","Powiat m.Kraków"
